,date,open,High,low,close,signal
16584,2018-07-29 09:15:00,,,,,Short
16585,2018-07-29 13:15:00,,,,,Short
16586,2018-07-29 17:15:00,,,,,Short
16587,2018-07-29 21:15:00,,,,,Short
16588,2018-07-30 01:15:00,,,,,Short
16589,2018-07-30 05:15:00,,,,,Short
16590,2018-07-30 09:15:00,27767.65,27778.45,27609.65,27763.0,Short
16591,2018-07-30 13:15:00,27764.6,27870.55,27760.15,27815.2,Short
16592,2018-07-30 17:15:00,,,,,Short
16593,2018-07-30 21:15:00,,,,,Short
16594,2018-07-31 01:15:00,,,,,Short
16595,2018-07-31 05:15:00,,,,,Short
16596,2018-07-31 09:15:00,27797.2,27836.55,27651.5,27677.9,Short
16597,2018-07-31 13:15:00,27674.55,27791.1,27667.95,27773.15,Short
16598,2018-07-31 17:15:00,,,,,Short
16599,2018-07-31 21:15:00,,,,,Short
16600,2018-08-01 01:15:00,,,,,Short
16601,2018-08-01 05:15:00,,,,,Short
16602,2018-08-01 09:15:00,27684.8,27819.4,27614.6,27627.65,Short
16603,2018-08-01 13:15:00,27626.0,27727.65,27479.8,27485.2,Short
16604,2018-08-01 17:15:00,,,,,Short
16605,2018-08-01 21:15:00,,,,,Short
16606,2018-08-02 01:15:00,,,,,Short
16607,2018-08-02 05:15:00,,,,,Short
16608,2018-08-02 09:15:00,27469.5,27474.35,27349.1,27376.7,Short
16609,2018-08-02 13:15:00,27375.8,27444.0,27330.45,27340.85,Short
16610,2018-08-02 17:15:00,,,,,Short
16611,2018-08-02 21:15:00,,,,,Short
16612,2018-08-03 01:15:00,,,,,Short
16613,2018-08-03 05:15:00,,,,,Short
16614,2018-08-03 09:15:00,27471.95,27629.25,27456.0,27595.15,Short
16615,2018-08-03 13:15:00,27594.45,27720.25,27594.45,27709.25,Short
16616,2018-08-03 17:15:00,,,,,Short
16617,2018-08-03 21:15:00,,,,,Short
16618,2018-08-04 01:15:00,,,,,Short
16619,2018-08-04 05:15:00,,,,,Short
16620,2018-08-04 09:15:00,,,,,Short
16621,2018-08-04 13:15:00,,,,,Short
16622,2018-08-04 17:15:00,,,,,Short
16623,2018-08-04 21:15:00,,,,,Short
16624,2018-08-05 01:15:00,,,,,Short
16625,2018-08-05 05:15:00,,,,,Short
16626,2018-08-05 09:15:00,,,,,Short
16627,2018-08-05 13:15:00,,,,,Short
16628,2018-08-05 17:15:00,,,,,Short
16629,2018-08-05 21:15:00,,,,,Short
16630,2018-08-06 01:15:00,,,,,Short
16631,2018-08-06 05:15:00,,,,,Short
16632,2018-08-06 09:15:00,27769.55,27987.15,27769.55,27940.35,Short
